ID,MW
23444,486.222795
23446,486.243975
23501,465.3216007
23650,473.2982359
23654,489.3404599
23657,489.3587399
23693,490.3185499
23694,491.336935
23795,493.353105
23893,473.2864107
23980,497.302595
23991,497.394185
24091,499.267805
24093,499.296345
24145,499.2896799
24155,500.487135
24190,501.314015
24216,500.8613299
24231,501.2347499
24271,503.298175
24274,503.312855
24282,503.382095
24324,504.304305
24329,504.340595
24330,503.3562099
24378,505.352435
24443,505.3155299
24636,508.7743599
24673,509.3740599
24715,511.372055
24816,496.2892959
25012,516.3018499
25067,518.356125
25071,517.3724099
25107,518.3794899
25318,523.363635
25327,506.4692259
25397,525.279285
25398,525.306505
25407,525.423755
25448,526.311145
25461,525.4886799
25505,510.3400159
25519,527.792225
25603,529.382435
25702,530.2771399
25730,530.7748799
25808,533.323475
25815,532.3757099
25836,532.7786599
25856,512.2213507
25860,512.2953907
25871,533.3850499
25874,534.427535
26148,539.403005
26180,540.048635
26266,541.382925
26371,543.398855
26454,523.3635007
26459,545.428335
26560,547.283615
26561,547.283735
26562,525.3058207
26605,548.200065
26611,548.292955
26620,547.3821799
26668,549.387015
26714,528.2903207
26780,551.367605
26890,553.454765
26939,553.4007299
26980,555.305285
26989,555.398915
27088,540.3874359
27158,558.708975
27186,559.319875
27190,559.356125
27228,560.296375
27288,560.3281599
27294,560.4080599
27397,563.527205
27538,566.215075
27608,566.2936199
27674,567.3979899
27701,569.275255
27809,571.393115
27810,571.408925
27811,571.429555
27983,575.330065
27984,575.342825
28039,554.3146707
28091,560.2831959
28102,560.3922659
28148,577.2844599
28149,556.3240707
28150,578.306015
28365,565.2900859
28366,581.3351799
28506,583.7580899
28546,585.407645
28639,587.330495
28642,570.3400759
28690,588.314625
28691,566.3426307
28725,572.2882559
28728,572.3192059
28733,567.4361307
28773,590.315055
28785,589.4297799
28816,591.310295
28821,590.3352999
28883,592.394515
28885,591.4090299
28939,576.3875659
28990,572.3533707
29049,578.3582059
29094,574.2984407
29148,596.3643499
29155,597.444935
29233,599.156055
29249,599.424055
29298,600.327075
29354,601.439985
29377,584.9485959
29397,602.261275
29511,604.466845
29556,588.3143159
29566,605.449575
29624,605.4242299
29625,605.4425999
29709,608.280445
29804,609.617235
29874,593.9543959
30022,613.439195
30118,615.361745
30224,617.362045
30309,597.3745507
30315,619.405815
30358,603.2159959
30411,621.335315
30413,620.3404899
30468,622.405135
30563,624.311635
30669,626.262805
30741,610.4442059
30832,628.2162799
30841,612.3510059
30845,629.471485
30992,631.3138799
31046,633.371995
31145,635.336295
31156,634.4632899
31195,636.346725
31201,636.384505
31367,639.187245
31481,641.471725
31578,643.329765
31599,643.622545
31818,630.3612559
31866,648.457815
31906,649.367055
31909,649.404655
31915,648.4623799
31969,649.4512099
32014,650.3969499
32056,630.3612407
32099,653.202625
32229,633.5049807
32352,657.370835
32357,657.466725
32560,644.3769459
32650,663.395065
32713,663.4844699
32757,665.383225
32760,665.411365
32944,647.2952607
32946,669.277695
33035,669.9079999
33070,671.489615
33106,650.3874907
33159,656.4342559
33205,674.435655
33344,676.1113599
33417,677.4813599
33419,678.504255
33512,680.311025
33594,680.9143399
33675,683.554125
33867,687.375595
33874,687.455375
33921,688.443525
33981,689.498765
34046,689.8464099
34124,691.4975899
34259,695.106185
34329,696.352895
34342,674.5368407
34349,696.717025
34434,698.535085
34439,697.6291899
34580,700.4011599
34664,703.350815
34696,702.9275899
34821,706.426445
34895,707.838305
34934,708.421195
34971,709.096485
35098,710.3910299
35213,713.574385
35379,716.471855
35585,720.441825
35687,721.5259099
35713,723.074085
35902,726.202015
36189,714.5133559
36269,732.1413299
36341,734.432115
36343,734.433155
36497,720.4174059
36554,738.473255
36615,739.513845
36628,739.666615
36901,745.518665
37005,747.439865
37152,749.3465899
37222,751.630785
37582,758.059065
37682,742.6724159
37776,761.546615
37917,764.034535
37990,748.4514059
37999,765.661425
38044,766.483755
38216,752.5801859
38304,771.531355
38756,779.628165
38799,779.5681499
38922,782.755725
39174,787.411975
39518,793.715685
39886,800.676625
39936,801.580495
39987,802.592945
40173,805.472585
40414,809.500415
40718,813.1989499
40790,815.595875
40848,816.436695
40924,817.575615
41116,798.6211907
41286,806.1050259
41665,812.5631559
41667,812.5856859
41783,831.629565
42099,835.6813699
42141,836.4263699
42226,837.6095899
42263,817.2868407
42946,850.380665
43602,838.1686807
43702,861.603325
44416,873.637195
44417,873.638295
44537,875.618515
44554,875.793815
45369,889.771165
45730,873.7800707
45816,897.421195
45848,897.895555
46361,905.665145
47138,917.299245
47543,923.262075
48590,939.699875
48969,928.6696659
49721,957.829695
50003,962.165205
50099,946.6802859
50570,971.335075
50951,977.590195
51394,962.6319307
51599,970.9882659
51813,974.5438159
52555,1003.737175
55838,1061.779895
56883,1079.790145
58183,1106.285875
58184,1106.286125
58885,1119.821035
60354,1130.695486
61701,1177.862295
64144,1235.906115
64171,1235.6456
66293,1293.946395
67889,1340.24888
68281,1351.992055
80000,143.0729507
80001,169.0886008
80002,109.0522152
80004,131.072951
80006,107.0729507
80007,169.0886008
80008,160.979356
80009,197.0947488
80011,219.1042508
80014,146.0362308
80015,427.8833636
80016,390.2221341
80017,398.2427916
80018,266.1641474
80019,326.070247
80020,99.10425084
80023,146.0586976
80024,85.08860074
80025,307.1445914
80026,178.1199604
80027,116.0580289
80028,99.0678653
80029,326.0002801
80030,181.0014426
80031,135.0137215
80032,182.070247
80033,368.1171976
80034,282.1672848
80035,266.1641415
80036,195.0559872
80038,105.07843
80039,238.098193
80040,394.452175
80041,352.4102307
80043,212.252175
80044,408.4702307
80045,324.372175
80046,193.1097301
80047,191.0689279
80048,213.0818011
80049,229.240016
80050,287.2454953
80051,383.9870678
80052,246.0886603
80053,222.0886603
80054,174.0423788
80055,278.1512606
80056,146.0726163
80057,268.1570146
80058,170.1777501
80059,127.0183283
80060,216.0715708
80061,121.0886007
80062,122.0474642
80063,470.3601843
80064,302.1723835
80065,218.0784831
80066,722.6418919
80067,638.5479915
80068,100.0521552
80069,86.03623082
80071,84.05696629
80072,169.0733446
80077,151.0086362
80078,166.9857925
80080,132.0569663
80081,150.0675309
80082,117.07843
80083,123.0314798
80084,390.2764611
80085,138.0311454
80086,137.0471299
80087,106.0413162
80088,154.0260601
80089,138.0311454
80090,202.2151982
80091,194.0798269
80092,131.1416989
80094,156.016558
80095,176.0315394
80097,376.1377357
80098,290.1876461
80099,204.089329
80100,133.0369591
80101,253.135568
80102,112.0518806
80103,302.245161
80104,346.2138608
80105,356.2921112
80106,272.1770811
80107,148.0518809
80108,202.1199605
80109,150.0522748
80110,164.0467955
80111,292.0901169
80112,296.3073673
80113,270.055442
80114,169.0134604
80115,327.3131809
80116,325.2975309
80117,281.2713161
80118,244.178144
80119,309.2087159
80120,299.1515949
80121,207.0889947
80122,149.050501
80123,131.09408
80124,155.0689279
80125,147.0526092
80126,174.1111271
80127,283.2869662
80128,359.1691368
80129,341.0692335
80130,291.1132848
80131,303.2556661
80132,338.2087755
80133,301.1308595
80134,248.0113843
80135,198.1726647
80136,232.0164632
80137,206.1413646
80138,212.0710921
80139,232.081799
80140,221.1046448
80141,227.1199179
80142,164.0944144
80143,296.0477698
80144,241.135568
80145,201.0355196
80146,291.0187393
80147,201.07843
80148,190.0770501
80149,488.0356906
80150,342.2876945
80151,302.2240316
80152,354.0556459
80153,102.0311454
80154,244.0876148
80155,108.0569663
80157,180.0417101
80159,182.0784896
80160,104.01041
80161,200.1519293
80162,296.050384
80163,172.1457813
80164,361.2036305
80165,262.156346
80166,308.0349105
80167,310.156346
80168,317.2924455
80169,282.2553317
80170,360.1931254
80171,304.2396817
80172,164.1043104
80173,243.2192806
80174,162.1250458
80176,144.0569663
80177,242.2240316
80178,158.1301312
80179,97.97634659
80180,228.2083815
80181,299.2818808
80182,355.3444811
80184,165.07843
80185,131.09408
80186,132.0529435
80187,89.04712985
80188,218.1665167
80189,162.1039165
80191,224.1883148
80192,348.9257353
80193,188.134171
80194,446.3238052
80195,434.2874197
80196,185.2138013
